"GeneStart","GeneEnd","GeneLocation","Strand","Protein_ID","GeneID","Protein_ID.1","Protein.product","Locus","Length","pi.site","pis.site","pin.site","TajimaD","FuLiF","FuLiD","pi_site","FayWuH","neutindex","alpha","dos","MK_p","Dn","Ds","Pn","Ps","biofilm","Comella","Berka","Kobayashi","Molle","aa","a","PSORTB","Extracellular","PANNZER_OG","PANNZER_NEW","PANNZER_ALL","PANNZER_EX","CAZY","ANTISMASH","antianti","ka","ks","kaks","nonsyn_sites","syn_sites","PI_SITE","PIS_SITE","PIN_SITE","PERCENTwREADS","map_read_len_percent","QS","as","ad","af","ag","ah","sel1[, 50]/sel1[, 49]"
448,1785,"448 - 1785","+","WP_003242674.1","B4U62_RS00005","WP_003242674.1"," chromosomal replication initiator protein DnaA","dnaA",1337,9.466666667,7.277419355,2.189247312,-1.728511503,-3.32479863,-3.528031213,0.007080529,NA,1.957446809,-0.957446809,-0.128571429,0.493800698,2,8,23,47,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.000860098,0.261908125,0.003283967,862.499998,474.500002,0.007080529,0.015337027,0.002538258,100,0.994395135,0,0,0,0,0,0,0.165498698020157
1977,3110,"1977 - 3110","+","WP_003242509.1","B4U62_RS00010","WP_003242509.1"," DNA polymerase III subunit beta","dnaN",1133,10.97204301,10.27096774,0.701075269,-1.680580987,-3.34778256,-3.584286167,0.009684063,NA,NA,NA,-0.043478261,1,0,14,3,66,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.003793568,0.333177689,0.01138602,726.5,406.5,0.009684063,0.025266833,0.000965004,100,0.996198258,0,0,0,0,0,0,0.0381925190228629
3244,3456,"3244 - 3456","+","WP_003226810.1","B4U62_RS00015","WP_003226810.1"," ribosome maturation protein RlbA","rlbA",212,0.877419355,0.064516129,0.812903226,-2.042134359,-3.003978234,-2.941377458,0.004138771,NA,NA,NA,NA,1,0,0,9,1,0,0,0,0,0,0,0,"Unknown",0,0,0,0,0,0,0,0,0.014441437,0.163721122,0.088207538,140.5,71.5,0.004138771,0.000902323,0.005785788,96.77419355,0.998805258,0,0,0,0,0,0,6.41210298307812
3475,4584,"3475 - 4584","+","WP_003243515.1","B4U62_RS00020","WP_003243515.1"," DNA replication/repair protein RecF","recF",1109,6.653763441,0.705376344,5.948387097,-2.264547185,-3.547547473,-3.542352721,0.005999787,NA,1.9,-0.9,-0.100746269,0.498129442,3,1,57,10,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,1,1,0,0,0,0.014451438,0.210835497,0.068543668,711.5155423,397.4844577,0.005999787,0.001774601,0.008360165,100,0.996985768,0,0,0,0,0,0,4.71101109488837
4605,4847,"4605 - 4847","+","WP_003219266.1","B4U62_RS00025","WP_003219266.1"," extracellular matrix regulator RemB","remB",242,0.189247312,0.124731183,0.064516129,-1.261606927,-0.990984355,-0.74822113,0.000782014,NA,NA,NA,-0.5,1,0,1,1,1,0,0,0,0,0,0,0,"Unknown",0,0,0,1,0,0,0,0,0.006369513,0.024129765,0.263969124,158,84,0.000782014,0.001484895,0.00040833,100,1,0,0,0,0,0,0,0.274989140646308
4905,6818,"4905 - 6818","+","WP_003226808.1","B4U62_RS00030","WP_003226808.1"," DNA topoisomerase (ATP-hydrolyzing) subunit B","gyrB",1913,18.05591398,16.31827957,1.737634409,-1.718467376,-3.128589752,-3.280055878,0.009438533,NA,0.98245614,0.01754386,0.001736111,1,4,32,14,114,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.006392596,0.371889656,0.017189496,1246.499995,666.500005,0.009438533,0.02448354,0.001394011,100,0.999562487,0,0,0,0,0,0,0.0569366603032078
7032,9494,"7032 - 9494","+","WP_003244540.1","B4U62_RS00035","WP_003244540.1"," DNA topoisomerase (ATP-hydrolyzing) subunit A","gyrA",2462,27.9827957,26.95053763,1.032258065,-1.45701965,-3.047545503,-3.312813079,0.01136588,NA,0.344578313,0.655421687,0.09914343,0.069231428,5,26,11,166,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.00907076,0.352897047,0.0257037,1590.499993,871.500007,0.01136588,0.030924311,0.000649015,100,0.997671561,0,0,0,0,0,0,0.0209872097069519
14888,15832,"14888 - 15832","-","WP_003247147.1","B4U62_RS00065","WP_003247147.1"," YaaC family protein","yaaC",944,8.189247312,1.320430108,6.868817204,-2.232296732,-4.005745524,-4.16129819,0.00867505,NA,0,1,0.12195122,1,4,0,72,10,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.04367354,0.288473553,0.151395299,547.8133482,396.1866518,0.00867505,0.003332849,0.012538609,100,0.993704916,0,0,0,0,0,0,3.76212933739272
15953,17416,"15953 - 17416","+","WP_003226803.1","B4U62_RS00070","WP_003226803.1"," IMP dehydrogenase","guaB",1463,8.443010753,0.374193548,8.068817204,-2.204956062,-4.009255605,-4.180228709,0.005771026,NA,2.433333333,-1.433333333,-0.065699007,0.296284898,15,2,73,4,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.00603277,0.271955215,0.022182953,964.499999,498.500001,0.005771026,0.000750639,0.008365803,100,0.996129913,0,0,0,0,0,0,11.1449085379257
17572,18900,"17572 - 18900","+","WP_009966224.1","B4U62_RS00075","WP_009966224.1"," D-alanyl-D-alanine carboxypeptidase","dacA",1328,10.74408602,6.860215054,3.883870968,-2.186194315,-3.895502299,-4.042215411,0.008090426,NA,1.868852459,-0.868852459,-0.133838384,0.707262885,2,6,38,61,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.020435728,0.276791779,0.07383069,876.6273398,451.3726602,0.008090426,0.015198561,0.00443047,100,0.994042429,0,0,0,0,0,0,0.291505886642821
19100,19981,"19100 - 19981","+","WP_003247145.1","B4U62_RS00080","WP_003247145.1"," pyridoxal 5'-phosphate synthase lyase subunit PdxS","pdxS",881,6.941935484,6.361290323,0.580645161,-1.562093295,-2.997512211,-3.180928269,0.007879609,NA,0.202702703,0.797297297,0.358662614,0.065358303,4,3,10,37,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.007388917,0.240649459,0.030704064,597.999997,283.000003,0.007879609,0.022478057,0.000970979,100,0.997047568,0,0,0,0,0,0,0.0431967496122997
20006,20593,"20006 - 20593","+","WP_003226797.1","B4U62_RS00085","WP_003226797.1"," pyridoxal 5'-phosphate synthase glutaminase subunit PdxT","pdxT",587,5.109677419,2.950537634,2.159139785,-1.841815942,-3.585999911,-3.804925201,0.008704732,NA,1.391304348,-0.391304348,-0.076923077,0.743193321,4,8,16,23,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.017777899,0.347467403,0.05116422,377.499997,209.500003,0.008704732,0.014083712,0.005719576,100,1,0,0,0,0,0,0,0.406112820256478
20918,22192,"20918 - 22192","+","WP_003247131.1","B4U62_RS00090","WP_003247131.1"," serine--tRNA ligase","serS",1274,10.61505376,9.698924731,0.916129032,-1.940807969,-3.402481328,-3.5214645,0.008332067,NA,NA,NA,-0.104651163,1,0,5,9,77,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.009596237,0.290180047,0.03306994,830.999997,443.000003,0.008332067,0.021893735,0.001102442,100,0.997829271,0,0,0,0,0,0,0.0503542223380341
22537,23187,"22537 - 23187","-","WP_003226792.1","B4U62_RS00100","WP_003226792.1"," deoxyadenosine/deoxycytidine kinase","dck",650,7.686021505,6.593548387,1.092473118,-1.720454306,-3.154196178,-3.306580825,0.011824648,NA,NA,NA,-0.186440678,1,0,3,11,48,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.023817748,0.388632982,0.061285968,410.2547665,239.7452335,0.011824648,0.027502313,0.002662914,100,0.993143929,0,0,0,0,0,0,0.0968250924931296
